Sector,Project,Operation,Chinese Company,Year,US$ M
Hidrelétrica,UHE Capivara,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Hidrelétrica,UHE Jurumirim,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Hidrelétrica,UHE Taquaruçu,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Hidrelétrica,UHE Salto Grande,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Hidrelétrica,UHE Rosana,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Tecnologia,Joint venture SEMP TCL,SEMP TCL,TCL,2016,"60,00"
Infraestrutura,Venda de 90% das ações da Nova Transportadora do Sudeste,PETROBRÁS,China Investment Corporation (CIC),2016,"441,00"
Indústria Manufatureira,Transferência da sede da Bluestar Silicones,Bluestar Silicones,China National Bluestar,2016,"12,50"
Serviços,Compra da Rio Bravo Investimentos pela Fosun International,Rio Bravo Investimentos SA,Fosun International Limited,2016,"13,46"
Automobilístico,Instalação de unidade de montagem da BYD Brasil,BYD Brasil,BYD,2016,"23,00"
Infraestrutura,Aquisição da Concremat pela China Communications Construction Company,Concremat,China Communications Construction Company (CCCC),2016,"100,00"
Tecnologia,Instalação de fábrica de medidores de energia elétrica,Electra Energy Solution,Hangzhou Hexing Electrical Co Ltd,2016,"15,27"
Hidrelétrica,UHE Engenheiro Souza Dias (Jupiá),CTG Brasil,China Three Gorges (CTG),2015,"3.660,00"
Hidrelétrica,UHE Ilha Solteira,CTG Brasil,China Three Gorges (CTG),2015,"3.660,00"
Hidrelétrica,UHE Salto Rio Verdinho,CTG Brasil,China Three Gorges (CTG),2015,"272,31"
Transmissão,SE Xinguara II,Atlântico Concessionária de Transmissão de Energia do Brasil S.A.,State Grid,2015,"7,20"
Transmissão,LT Integradora - Xinguara I,Atlântico Concessionária de Transmissão de Energia do Brasil S.A.,State Grid,2015,"7,20"
Transmissão,LT Integradora - Sossego,Atlântico Concessionária de Transmissão de Energia do Brasil S.A.,State Grid,2015,"7,20"
Transmissão,LT Pirapora 2 - Montes Claros 2,"Linhas de Transmissão Montes Claros S.A. (""LTMC"")",State Grid,2015,"34,74"
Transmissão,SE Itabirito 2,"Linhas de Transmissão Montes Claros S.A. (""LTMC"")",State Grid,2015,"34,74"
Transmissão,SE Padre Fialho,"Linhas de Transmissão Montes Claros S.A. (""LTMC"")",State Grid,2015,"34,74"
Transmissão,LT Xingu - Terminal Rio,100% da State Grid Brazil Holding (SBGH),State Grid,2015,"2.725,06"
Transmissão,Estação Conversora Xingu,100% da State Grid Brazil Holding (SBGH),State Grid,2015,"2.725,06"
Transmissão,Estação Conversora Terminal Rio,100% da State Grid Brazil Holding (SBGH),State Grid,2015,"2.725,06"
Tecnologia,Fábrica de lâmpadas de LED,ADVANCED OPTRONIC DEVICES (BRASIL) S. A,ADVANCED OPTRONIC DEVICES,2015,"26,00"
Maquinário Industrial,Instalação de fábrica de maquinário pesado,"LiuGong Machinery Latin America, LTDA",Guangxi Liugong Machinery,2015,"37,00"
Serviços,"Aquisição de 23,7% da Azul Linhas Aéreas",Azul Linhas Aéreas,HNA Group,2015,"450,00"
Agricultura,Construção de Planta de processamento de milho e produção de ácido cítrico,BBCA Brazil,BBCA Group,2015,"320,00"
